PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_POSITION,NBA_FANTASY_PTS,GP,FG3M,FGM,FGA,FTM,FTA,PTS,REB,AST,TOV,STL,BLK,FG3_PCT,FT_PCT,FG_PCT,SEASON
James Harden,LAC,Guard,3557.7,79,235,531,1295,505,578,1802,456,687,341,118,55,0.352,0.874,0.41,2024-25
Jayson Tatum,BOS,Forward-Guard,3459.1,72,250,662,1465,358,440,1932,623,431,209,76,38,0.343,0.814,0.452,2024-25
Anthony Edwards,MIN,Guard,3432.5,79,320,721,1612,415,496,2177,450,359,249,91,51,0.395,0.837,0.447,2024-25
Trae Young,ATL,Guard,3398.2,76,218,566,1376,491,561,1841,236,880,355,91,12,0.34,0.875,0.411,2024-25
Karl-Anthony Towns,NYK,Center-Forward,3367.0,72,142,639,1215,339,409,1759,920,222,192,71,50,0.42,0.829,0.526,2024-25
Cade Cunningham,DET,Guard,3360.0,70,149,684,1457,313,370,1830,425,638,309,71,53,0.356,0.846,0.469,2024-25
LeBron James,LAL,Forward,3294.7,70,149,651,1270,259,331,1710,546,575,260,70,39,0.376,0.782,0.513,2024-25
Alperen Sengun,HOU,Center,3193.2,76,21,567,1143,296,428,1451,786,372,194,84,61,0.233,0.692,0.496,2024-25
Ivica Zubac,LAC,Center,3181.0,80,0,592,942,156,236,1340,1010,214,127,55,90,0.0,0.661,0.628,2024-25
Domantas Sabonis,SAC,Forward-Center,3157.9,70,65,527,893,218,289,1337,972,423,202,48,26,0.417,0.754,0.59,2024-25
Devin Booker,PHX,Guard,3111.5,75,183,654,1420,432,483,1923,305,529,220,67,16,0.332,0.894,0.461,2024-25
Bam Adebayo,MIA,Center-Forward,3106.3,78,79,540,1113,251,328,1410,749,337,161,98,53,0.357,0.765,0.485,2024-25
Tyrese Haliburton,IND,Guard,3020.1,73,218,476,1006,189,222,1359,258,673,120,105,49,0.388,0.851,0.473,2024-25
Tyler Herro,MIA,Guard,3014.8,77,251,651,1378,287,327,1840,399,424,198,69,17,0.375,0.878,0.472,2024-25
Josh Hart,NYK,Guard,2894.9,77,84,404,770,159,205,1051,737,453,158,119,27,0.333,0.776,0.525,2024-25
Stephen Curry,GSW,Guard,2851.5,70,311,564,1258,279,299,1718,310,421,200,80,30,0.397,0.933,0.448,2024-25
Pascal Siakam,IND,Forward,2847.5,78,126,613,1182,226,308,1578,540,263,109,70,42,0.389,0.734,0.519,2024-25
Nikola Vučević,CHI,Center,2835.0,73,129,550,1038,120,149,1349,735,256,119,61,52,0.402,0.805,0.53,2024-25
Jaren Jackson Jr.,MEM,Forward-Center,2825.4,74,146,592,1213,311,398,1641,417,148,153,92,113,0.375,0.781,0.488,2024-25
Evan Mobley,CLE,Center,2822.8,71,85,505,906,221,305,1316,659,226,145,61,113,0.37,0.725,0.557,2024-25
Dyson Daniels,ATL,Guard,2808.3,76,80,455,923,83,140,1073,449,333,155,229,55,0.34,0.593,0.493,2024-25
Donovan Mitchell,CLE,Guard,2805.4,71,233,585,1320,298,362,1701,322,354,149,95,17,0.368,0.823,0.443,2024-25
Jalen Williams,OKC,Guard-Forward,2786.3,69,124,565,1168,236,299,1490,369,355,150,111,46,0.365,0.789,0.484,2024-25
DeMar DeRozan,SAC,Guard-Forward,2757.6,77,84,624,1308,378,441,1710,298,342,105,62,32,0.328,0.857,0.477,2024-25
Scottie Barnes,TOR,Forward-Guard,2704.4,65,76,474,1063,228,302,1252,502,378,185,93,63,0.271,0.755,0.446,2024-25
Jalen Green,HOU,Guard,2689.4,82,234,608,1437,273,336,1723,377,282,203,71,27,0.354,0.813,0.423,2024-25
Kevin Durant,PHX,Forward,2681.3,62,160,592,1124,303,361,1647,374,263,190,50,77,0.43,0.839,0.527,2024-25
Darius Garland,CLE,Guard,2676.8,75,212,554,1174,224,255,1544,214,506,189,91,11,0.401,0.878,0.472,2024-25
Jalen Brunson,NYK,Guard,2666.9,65,152,585,1200,368,448,1690,187,475,164,60,8,0.383,0.821,0.488,2024-25
Jarrett Allen,CLE,Center,2650.6,82,0,452,640,199,277,1103,798,158,97,77,73,0.0,0.718,0.706,2024-25
Josh Giddey,CHI,Guard,2640.7,70,105,371,798,175,224,1022,566,503,202,84,45,0.378,0.781,0.465,2024-25
Anthony Davis,DAL,Forward-Center,2634.5,51,35,470,910,286,369,1261,590,181,113,59,110,0.282,0.775,0.516,2024-25
Austin Reaves,LAL,Guard,2633.3,73,200,477,1037,321,366,1475,329,421,177,81,22,0.377,0.877,0.46,2024-25
Luka Dončić,LAL,Forward-Guard,2624.3,50,177,461,1025,309,395,1408,409,383,179,89,21,0.368,0.782,0.45,2024-25
Jamal Murray,DEN,Guard,2587.7,67,156,531,1121,218,246,1436,261,403,138,91,33,0.393,0.886,0.474,2024-25
De'Aaron Fox,SAS,Guard,2578.6,62,118,539,1163,263,318,1459,298,392,174,91,25,0.31,0.827,0.463,2024-25
Zach LaVine,SAC,Guard,2569.0,74,239,625,1223,235,285,1724,315,310,208,58,12,0.446,0.825,0.511,2024-25
Desmond Bane,MEM,Guard,2537.1,69,164,493,1018,177,198,1327,418,369,169,80,28,0.392,0.894,0.484,2024-25
Derrick White,BOS,Guard,2523.7,76,265,424,959,135,161,1248,341,361,131,72,80,0.384,0.839,0.442,2024-25
Victor Wembanyama,SAS,Forward-Center,2510.2,46,142,408,857,158,189,1116,506,168,149,52,176,0.352,0.836,0.476,2024-25
Jalen Duren,DET,Center,2492.9,78,0,378,546,162,242,918,807,209,136,54,89,0.0,0.669,0.692,2024-25
Damian Lillard,MIL,Guard,2466.4,58,197,444,992,362,393,1447,272,410,162,70,10,0.376,0.921,0.448,2024-25
Amen Thompson,HOU,Guard-Forward,2464.3,69,25,388,697,169,247,970,564,265,138,97,89,0.275,0.684,0.557,2024-25
Michael Porter Jr.,DEN,Forward,2453.5,77,193,528,1048,149,194,1398,540,165,104,50,38,0.395,0.768,0.504,2024-25
Mikal Bridges,NYK,Guard-Forward,2435.8,82,164,592,1183,96,118,1444,259,306,132,75,43,0.354,0.814,0.5,2024-25
Franz Wagner,ORL,Forward,2435.4,60,104,537,1161,271,311,1449,342,284,138,75,21,0.295,0.871,0.463,2024-25
OG Anunoby,NYK,Forward-Guard,2430.6,74,171,489,1027,183,226,1332,358,164,102,110,65,0.372,0.81,0.476,2024-25
