PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_POSITION,NBA_FANTASY_PTS,GP,FG3M,FGM,FGA,FTM,FTA,PTS,REB,AST,TOV,STL,BLK,FG3_PCT,FT_PCT,FG_PCT,SEASON
Malcolm Brogdon,IND,Guard,2109.3,56,145,444,980,153,177,1186,294,329,115,49,15,0.388,0.864,0.453,2020-21
Draymond Green,GSW,Forward,2101.6,63,34,170,380,70,88,444,448,558,188,105,52,0.27,0.795,0.447,2020-21
Kelly Olynyk,HOU,Forward-Center,2073.3,70,126,337,697,145,175,945,489,203,126,79,42,0.342,0.829,0.484,2020-21
Nikola Jokić,DEN,Center,4337.8,74,97,764,1311,379,468,2004,1019,584,281,109,63,0.337,0.81,0.583,2021-22
Giannis Antetokounmpo,MIL,Forward,3787.6,67,71,689,1245,553,766,2002,778,388,219,72,91,0.293,0.722,0.553,2021-22
Joel Embiid,PHI,Center-Forward,3774.2,68,93,666,1334,654,803,2079,796,284,214,77,99,0.371,0.814,0.499,2021-22
Trae Young,ATL,Guard,3535.3,76,233,711,1544,500,553,2155,284,737,303,72,7,0.382,0.904,0.46,2021-22
Luka Dončić,DAL,Forward-Guard,3451.6,65,201,641,1403,364,489,1847,593,568,292,75,36,0.353,0.744,0.457,2021-22
Jayson Tatum,BOS,Forward-Guard,3432.8,76,230,708,1564,400,469,2046,609,334,217,75,49,0.353,0.853,0.453,2021-22
Dejounte Murray,SAS,Guard,3357.1,68,96,573,1241,196,247,1438,563,627,180,138,23,0.327,0.794,0.462,2021-22
Karl-Anthony Towns,MIN,Center-Forward,3332.9,74,150,642,1214,384,467,1818,727,269,226,72,83,0.41,0.822,0.529,2021-22
DeMar DeRozan,CHI,Guard-Forward,3244.4,76,50,774,1535,520,593,2118,392,374,181,68,24,0.352,0.877,0.504,2021-22
LaMelo Ball,CHA,Guard,3167.7,75,220,538,1254,212,243,1508,501,571,245,119,30,0.389,0.872,0.429,2021-22
James Harden,PHI,Guard,3102.5,65,148,407,992,470,536,1432,500,667,284,82,36,0.33,0.877,0.41,2021-22
