PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_POSITION,NBA_FANTASY_PTS,GP,FG3M,FGM,FGA,FTM,FTA,PTS,REB,AST,TOV,STL,BLK,FG3_PCT,FT_PCT,FG_PCT
Terry Rozier,CHA,Guard,2533.0,73,222,518,1167,150,176,1408,315,326,96,93,25,0.374,0.852,0.444
Christian Wood,HOU,Forward,2504.7,68,131,440,878,207,332,1218,686,155,126,54,65,0.39,0.623,0.501
Jrue Holiday,MIL,Guard,2499.7,67,132,478,954,137,180,1225,301,457,183,108,29,0.411,0.761,0.501
Zach LaVine,CHI,Guard,2480.1,67,185,565,1186,320,375,1635,308,303,171,41,23,0.389,0.853,0.476
Jaylen Brown,BOS,Guard-Forward,2476.3,66,166,576,1217,241,318,1559,404,231,178,70,18,0.358,0.758,0.473
Scottie Barnes,TOR,Forward-Guard,2455.4,74,58,459,932,158,215,1134,557,256,136,80,55,0.301,0.735,0.492
Clint Capela,ATL,Center,2410.4,74,0,370,604,80,169,820,877,92,44,55,93,0.0,0.473,0.613
Shai Gilgeous-Alexander,OKC,Guard,2398.1,56,89,477,1052,328,405,1371,278,331,154,71,46,0.3,0.81,0.453
Tobias Harris,PHI,Forward,2384.2,73,101,493,1022,170,202,1257,496,252,116,47,43,0.367,0.842,0.482
Khris Middleton,MIL,Forward,2381.2,66,162,452,1021,259,291,1325,356,358,190,76,18,0.373,0.89,0.443
Saddiq Bey,DET,Guard-Forward,2370.7,82,211,450,1136,210,254,1321,441,233,96,73,16,0.346,0.827,0.396
Evan Mobley,CLE,Center,2359.0,69,23,422,830,167,252,1034,570,174,133,56,115,0.25,0.663,0.508
Desmond Bane,MEM,Guard,2348.8,76,228,508,1101,140,155,1384,334,208,111,92,29,0.436,0.903,0.461
Jakob Poeltl,SAS,Center,2339.3,68,1,410,663,94,190,915,634,189,109,45,118,1.0,0.495,0.618
Jimmy Butler III,MIA,Forward,2332.2,57,27,398,829,396,455,1219,336,312,121,94,27,0.233,0.87,0.48
CJ McCollum,NOP,Guard,2314.3,62,182,536,1164,116,170,1370,269,315,127,70,22,0.388,0.682,0.46
Jalen Brunson,DAL,Guard,2304.3,79,94,506,1008,179,213,1285,309,377,124,66,3,0.373,0.84,0.502
Kyle Kuzma,WAS,Forward,2280.7,66,128,423,936,156,219,1130,561,233,169,42,57,0.341,0.712,0.452
Bam Adebayo,MIA,Center-Forward,2253.8,56,0,406,729,256,340,1068,564,190,148,80,44,0.0,0.753,0.557
