PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_POSITION,NBA_FANTASY_PTS,GP,FG3M,FGM,FGA,FTM,FTA,PTS,REB,AST,TOV,STL,BLK,FG3_PCT,FT_PCT,FG_PCT
Nikola Jokić,DEN,Center,4337.8,74,97,764,1311,379,468,2004,1019,584,281,109,63,0.337,0.81,0.583
Giannis Antetokounmpo,MIL,Forward,3787.6,67,71,689,1245,553,766,2002,778,388,219,72,91,0.293,0.722,0.553
Joel Embiid,PHI,Center-Forward,3774.2,68,93,666,1334,654,803,2079,796,284,214,77,99,0.371,0.814,0.499
Trae Young,ATL,Guard,3535.3,76,233,711,1544,500,553,2155,284,737,303,72,7,0.382,0.904,0.46
Luka Dončić,DAL,Forward-Guard,3451.6,65,201,641,1403,364,489,1847,593,568,292,75,36,0.353,0.744,0.457
Jayson Tatum,BOS,Forward-Guard,3432.8,76,230,708,1564,400,469,2046,609,334,217,75,49,0.353,0.853,0.453
Dejounte Murray,SAS,Guard,3357.1,68,96,573,1241,196,247,1438,563,627,180,138,23,0.327,0.794,0.462
Karl-Anthony Towns,MIN,Center-Forward,3332.9,74,150,642,1214,384,467,1818,727,269,226,72,83,0.41,0.822,0.529
DeMar DeRozan,CHI,Guard-Forward,3244.4,76,50,774,1535,520,593,2118,392,374,181,68,24,0.352,0.877,0.504
LaMelo Ball,CHA,Guard,3167.7,75,220,538,1254,212,243,1508,501,571,245,119,30,0.389,0.872,0.429
James Harden,PHI,Guard,3102.5,65,148,407,992,470,536,1432,500,667,284,82,36,0.33,0.877,0.41
Miles Bridges,CHA,Forward,3006.8,80,154,596,1214,267,333,1613,559,300,150,74,67,0.331,0.802,0.491
Pascal Siakam,TOR,Forward,2987.0,68,75,596,1207,284,379,1551,580,360,181,85,42,0.344,0.749,0.494
LeBron James,LAL,Forward,2969.3,56,161,640,1221,254,336,1695,459,349,196,73,59,0.359,0.756,0.524
Russell Westbrook,LAL,Guard,2952.0,78,79,548,1233,266,399,1441,580,550,295,75,20,0.298,0.667,0.444
Nikola Vučević,CHI,Center,2893.8,73,104,546,1154,92,121,1288,804,236,136,70,71,0.314,0.76,0.473
Julius Randle,NYK,Forward-Center,2892.2,72,120,512,1246,303,401,1447,716,370,245,53,39,0.308,0.756,0.411
Devin Booker,PHX,Guard,2872.9,68,183,662,1421,315,363,1822,342,329,162,77,26,0.383,0.868,0.466
Tyrese Haliburton,IND,Guard,2846.2,77,161,430,909,160,190,1181,311,628,199,134,49,0.414,0.842,0.473
Kevin Durant,BKN,Forward,2766.9,55,115,578,1115,372,409,1643,407,351,191,48,52,0.383,0.91,0.518
Stephen Curry,GSW,Guard,2756.0,64,285,535,1224,275,298,1630,335,404,206,85,23,0.38,0.923,0.437
Donovan Mitchell,UTA,Guard,2741.4,67,232,617,1376,267,313,1733,282,358,200,99,12,0.355,0.853,0.448
Jonas Valančiūnas,NOP,Center,2734.6,74,57,510,938,237,289,1314,843,190,179,41,60,0.361,0.82,0.544
Rudy Gobert,UTA,Center,2723.6,66,0,362,508,303,439,1027,968,72,119,45,137,0.0,0.69,0.713
Darius Garland,CLE,Guard,2656.3,68,174,542,1173,215,241,1473,224,583,248,89,7,0.383,0.892,0.462
Domantas Sabonis,SAC,Forward-Center,2620.9,62,39,443,773,246,332,1171,752,323,195,59,27,0.312,0.741,0.573
Chris Paul,PHX,Guard,2620.6,65,63,363,736,169,202,958,283,702,153,121,20,0.317,0.837,0.493
Anthony Edwards,MIN,Guard,2620.1,72,215,549,1245,220,280,1533,343,275,190,105,46,0.357,0.786,0.441
Ja Morant,MEM,Guard,2598.0,57,88,580,1177,316,415,1564,325,384,196,66,22,0.344,0.761,0.493
Fred VanVleet,TOR,Guard,2585.8,65,242,442,1097,194,222,1320,289,434,170,111,35,0.377,0.874,0.403
Jaren Jackson Jr.,MEM,Forward-Center,2565.8,78,128,430,1036,284,345,1272,454,86,130,73,177,0.319,0.823,0.415
