PLAYER_NAME,TEAM_ABBREVIATION,GP,FGM,FGA,FTM,FTA,PTS,REB,AST,TOV,STL,BLK
Nikola Jokić,DEN,72,732,1293,342,394,1898,780,599,222,95,48
Russell Westbrook,WAS,65,544,1238,271,413,1445,750,763,312,89,23
Luka Dončić,DAL,66,647,1351,344,471,1830,527,567,281,64,36
Giannis Antetokounmpo,MIL,61,626,1100,398,581,1717,671,357,207,72,73
Nikola Vučević,CHI,70,666,1396,131,156,1639,817,269,126,65,48
Julius Randle,NYK,71,602,1321,348,429,1712,724,427,241,64,18
Damian Lillard,POR,67,602,1334,449,484,1928,283,505,203,62,17
Stephen Curry,GSW,63,658,1365,362,395,2015,345,363,213,77,8
Domantas Sabonis,IND,62,484,904,240,328,1260,742,415,213,76,33
Rudy Gobert,UTA,71,391,579,233,374,1015,960,89,118,40,190
Jayson Tatum,BOS,64,605,1318,295,340,1692,472,276,171,75,31
Trae Young,ATL,63,487,1112,484,546,1594,245,594,261,53,12
Bradley Beal,WAS,60,670,1382,408,459,1878,283,265,187,69,22
Bam Adebayo,MIA,64,456,800,283,354,1197,573,346,169,75,66
Chris Paul,PHX,70,439,879,169,181,1149,312,622,156,99,19
Zion Williamson,NOP,61,634,1037,369,529,1647,441,226,167,57,39
Clint Capela,ATL,63,413,695,130,227,956,903,49,73,44,129
Joel Embiid,PHI,51,461,899,471,548,1451,539,145,159,50,69
Khris Middleton,MIL,68,511,1074,212,236,1385,406,370,178,74,9
De'Aaron Fox,SAC,58,529,1110,300,417,1461,203,417,174,87,27
Devin Booker,PHX,67,623,1287,340,392,1712,281,289,207,53,16
Kyrie Irving,BKN,54,549,1086,201,218,1451,257,324,130,76,37
Terry Rozier,CHA,69,510,1134,165,202,1407,302,293,128,87,26
Zach LaVine,CHI,58,569,1123,253,298,1591,289,282,203,46,27
Dejounte Murray,SAS,67,441,974,106,134,1051,473,363,117,101,7
Jimmy Butler III,MIA,52,366,736,359,416,1116,359,369,109,108,18
DeMar DeRozan,SAS,61,455,920,387,440,1316,259,422,119,56,15
Karl-Anthony Towns,MIN,50,425,875,267,311,1239,529,225,160,39,57
Jonas Valančiūnas,MEM,62,440,743,157,203,1058,776,112,100,35,57
Brandon Ingram,NOP,61,513,1101,281,320,1450,299,296,154,42,36
Anthony Edwards,MIN,72,505,1211,211,272,1392,336,211,160,82,36
Kawhi Leonard,LAC,52,465,908,261,295,1292,337,269,105,81,21
James Harden,BKN,44,342,734,278,323,1083,348,475,177,53,33
Jaylen Brown,BOS,58,538,1111,191,250,1430,347,195,158,72,32
Deandre Ayton,PHX,69,430,687,133,173,997,727,99,103,41,81
Andrew Wiggins,GSW,71,505,1058,170,238,1320,347,167,126,67,70
Tobias Harris,PHI,62,473,924,182,204,1210,419,220,107,55,51
Pascal Siakam,TOR,56,437,961,249,301,1196,405,250,130,64,37
Ja Morant,MEM,63,430,957,271,372,1204,252,465,203,57,13
Paul George,LAC,54,445,953,198,228,1259,359,280,179,62,24
Jrue Holiday,MIL,59,414,823,107,136,1046,268,357,127,96,37
RJ Barrett,NYK,72,467,1060,206,276,1264,414,217,139,53,20
Donovan Mitchell,UTA,53,478,1091,267,316,1401,235,277,147,52,15
Ben Simmons,PHI,58,325,583,176,287,829,417,401,173,93,35
Collin Sexton,CLE,60,525,1105,312,383,1460,187,262,167,62,10
LeBron James,LAL,45,422,823,178,255,1126,346,350,168,48,25
Buddy Hield,SAC,71,403,992,88,104,1176,334,257,130,63,30
Malcolm Brogdon,IND,56,444,980,153,177,1186,294,329,115,49,15
Draymond Green,GSW,63,170,380,70,88,444,448,558,188,105,52
Kelly Olynyk,HOU,70,337,697,145,175,945,489,203,126,79,42
